workclass,education-num,marital-status,sex,hours-per-week,native-country,decision
 State-gov,13, Never-married, Male,40, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,13, United-States, <=50K
 Private,9, Divorced, Male,40, United-States, <=50K
 Private,7, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Female,40, Cuba, <=50K
 Private,14, Married-civ-spouse, Female,40, United-States, <=50K
 Private,5, Married-spouse-absent, Female,16, Jamaica, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,45, United-States, >50K
 Private,14, Never-married, Female,50, United-States, >50K
 Private,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Married-civ-spouse, Male,80, United-States, >50K
 State-gov,13, Married-civ-spouse, Male,40, India, >50K
 Private,13, Never-married, Female,30, United-States, <=50K
 Private,12, Never-married, Male,50, United-States, <=50K
 Private,11, Married-civ-spouse, Male,40, ?, >50K
 Private,4, Married-civ-spouse, Male,45, Mexico, <=50K
 Self-emp-not-inc,9, Never-married, Male,35, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,7, Married-civ-spouse, Male,50, United-States, <=50K
 Self-emp-not-inc,14, Divorced, Female,45, United-States, >50K
 Private,16, Married-civ-spouse, Male,60, United-States, >50K
 Private,9, Separated, Female,20, United-States, <=50K
 Federal-gov,5, Married-civ-spouse, Male,40, United-States, <=50K
 Private,7, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Local-gov,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Never-married, Male,40, United-States, <=50K
 ?,10, Married-civ-spouse, Male,60, South, >50K
 Private,9, Divorced, Male,80, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Local-gov,12, Never-married, Male,52, United-States, <=50K
 Private,10, Never-married, Male,44, United-States, <=50K
 Private,13, Divorced, Male,40, United-States, <=50K
 Federal-gov,10, Married-civ-spouse, Male,40, United-States, <=50K
 State-gov,10, Married-civ-spouse, Male,15, United-States, <=50K
 Private,7, Never-married, Male,40, Puerto-Rico, <=50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Private,9, Married-AF-spouse, Female,25, United-States, <=50K
 Private,10, Married-civ-spouse, Male,38, ?, >50K
 Self-emp-not-inc,12, Married-civ-spouse, Male,40, United-States, <=50K
 Private,5, Married-civ-spouse, Male,43, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,50, United-States, <=50K
 Private,9, Separated, Female,40, United-States, <=50K
 Private,9, Never-married, Male,35, United-States, <=50K
 Federal-gov,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Married-civ-spouse, Male,38, United-States, <=50K
 Private,14, Divorced, Female,40, United-States, <=50K
 State-gov,11, Married-civ-spouse, Male,40, United-States, <=50K
 Private,11, Never-married, Male,43, United-States, <=50K
 Private,10, Married-civ-spouse, Female,40, United-States, <=50K
 Private,9, Never-married, Female,30, ?, <=50K
 Private,15, Married-civ-spouse, Female,60, Honduras, >50K
 Federal-gov,13, Divorced, Male,55, United-States, >50K
 Self-emp-inc,9, Divorced, Male,60, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, >50K
 Private,3, Married-civ-spouse, Male,40, Mexico, <=50K
 Private,11, Married-civ-spouse, Male,40, Puerto-Rico, <=50K
 Private,9, Married-civ-spouse, Male,48, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,40, United-States, <=50K
 ?,4, Married-spouse-absent, Male,40, ?, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,16, Married-civ-spouse, Male,45, United-States, >50K
 Private,10, Divorced, Male,58, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, >50K
 Self-emp-inc,10, Married-civ-spouse, Male,50, United-States, >50K
 ?,10, Never-married, Male,40, United-States, <=50K
 Private,10, Never-married, Male,32, United-States, <=50K
 Private,13, Separated, Female,40, United-States, <=50K
 Self-emp-not-inc,13, Married-civ-spouse, Male,70, United-States, >50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,20, United-States, <=50K
 Private,9, Never-married, Male,40, Mexico, <=50K
 Private,12, Married-civ-spouse, Male,40, United-States, <=50K
 ?,6, Married-civ-spouse, Male,2, United-States, <=50K
 Private,7, Never-married, Female,22, United-States, <=50K
 Local-gov,4, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Never-married, Male,30, United-States, <=50K
 Private,13, Married-civ-spouse, Male,40, Cuba, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,48, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, >50K
