age, workclass, fnlgwt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, decision
>37, State-gov,<=178356, Bachelors,>10, Never-married, Adm-clerical, Not-in-family, White, Male,>0,<=0,<=40, United-States, <=50K
>37, Self-emp-not-inc,<=178356, Bachelors,>10, Married-civ-spouse, Exec-managerial, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,>178356, HS-grad,<=10, Divorced, Handlers-cleaners, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,>178356, 11th,<=10, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Bachelors,>10, Married-civ-spouse, Prof-specialty, Wife, Black, Female,<=0,<=0,<=40, Cuba, <=50K
<=37, Private,>178356, Masters,>10, Married-civ-spouse, Exec-managerial, Wife, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, 9th,<=10, Married-spouse-absent, Other-service, Not-in-family, Black, Female,<=0,<=0,<=40, Jamaica, <=50K
>37, Self-emp-not-inc,>178356, HS-grad,<=10, Married-civ-spouse, Exec-managerial, Husband, White, Male,<=0,<=0,>40, United-States, >50K
<=37, Private,<=178356, Masters,>10, Never-married, Prof-specialty, Not-in-family, White, Female,>0,<=0,>40, United-States, >50K
>37, Private,<=178356, Bachelors,>10, Married-civ-spouse, Exec-managerial, Husband, White, Male,>0,<=0,<=40, United-States, >50K
<=37, Private,>178356, Some-college,<=10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,<=0,<=0,>40, United-States, >50K
<=37, State-gov,<=178356, Bachelors,>10, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,<=0,<=0,<=40, India, >50K
<=37, Private,<=178356, Bachelors,>10, Never-married, Adm-clerical, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Assoc-acdm,>10, Never-married, Sales, Not-in-family, Black, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,<=178356, Assoc-voc,>10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,<=0,<=0,<=40, ?, >50K
<=37, Private,>178356, 7th-8th,<=10, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,<=0,<=0,>40, Mexico, <=50K
<=37, Self-emp-not-inc,<=178356, HS-grad,<=10, Never-married, Farming-fishing, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Machine-op-inspct, Unmarried, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, 11th,<=10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Self-emp-not-inc,>178356, Masters,>10, Divorced, Exec-managerial, Unmarried, White, Female,<=0,<=0,>40, United-States, >50K
>37, Private,>178356, Doctorate,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,>40, United-States, >50K
>37, Private,>178356, HS-grad,<=10, Separated, Other-service, Unmarried, Black, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Federal-gov,<=178356, 9th,<=10, Married-civ-spouse, Farming-fishing, Husband, Black, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, 11th,<=10, Married-civ-spouse, Transport-moving, Husband, White, Male,<=0,>0,<=40, United-States, <=50K
>37, Private,<=178356, HS-grad,<=10, Divorced, Tech-support, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Local-gov,>178356, Bachelors,>10, Married-civ-spouse, Tech-support, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
<=37, Private,<=178356, HS-grad,<=10, Never-married, Craft-repair, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, ?,>178356, Some-college,<=10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,<=0,<=0,>40, South, >50K
>37, Private,>178356, HS-grad,<=10, Divorced, Exec-managerial, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,>178356, HS-grad,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Local-gov,>178356, Assoc-acdm,>10, Never-married, Protective-serv, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Never-married, Sales, Own-child, Black, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,>178356, Bachelors,>10, Divorced, Exec-managerial, Own-child, White, Male,<=0,>0,<=40, United-States, <=50K
<=37, Federal-gov,<=178356, Some-college,<=10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, State-gov,>178356, Some-college,<=10, Married-civ-spouse, Other-service, Husband, Black, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,>178356, 11th,<=10, Never-married, Machine-op-inspct, Unmarried, White, Male,<=0,<=0,<=40, Puerto-Rico, <=50K
<=37, Private,>178356, Some-college,<=10, Never-married, Machine-op-inspct, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Married-AF-spouse, Adm-clerical, Wife, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,<=40, ?, >50K
>37, Self-emp-not-inc,>178356, Assoc-acdm,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, 9th,<=10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Self-emp-not-inc,<=178356, Bachelors,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Bachelors,>10, Married-civ-spouse, Tech-support, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,<=178356, HS-grad,<=10, Separated, Adm-clerical, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Handlers-cleaners, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
